0 [137260498984000] INFO perfrun.launcher <> - Launcher main begin
1 [137260498984000] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [137260498984000] INFO perfrun.launcher <> - Launcher instance created
1 [137260498984000] INFO perfrun.launcher <> - argc = 6; cmdline = /home/canut/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 179 --context-value-list 
151 [137260498984000] INFO perfrun.launcher <> - create msngr2::ICliToolContext
152 [137260498984000] INFO perfrun.launcher <> - create file finder object
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CATAvailable; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = L3CATDetails; value = COS=16;ways=16
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL2CATAvailable; value = false
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LLCSize; value = 0
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = cacheMonitoringUpscalingFactor; value = 64
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CacheOccupancyAvailable; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3TotalBWAvailable; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3LocalBWAvailable; value = true
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
153 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = true
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.8.0-60-generic
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
154 [137260498984000] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
