0 [133704139902016] INFO perfrun.launcher <> - Launcher main begin
1 [133704139902016] INFO perfrun.launcher <> - MessageCatalogInit finished
1 [133704139902016] INFO perfrun.launcher <> - Launcher instance created
1 [133704139902016] INFO perfrun.launcher <> - argc = 6; cmdline = /home/canut/intel/oneapi/advisor/2025.1/bin64/advixe-runss --ui-output-format xml --ui-output-fd 182 --context-value-list 
111 [133704139902016] INFO perfrun.launcher <> - create msngr2::ICliToolContext
111 [133704139902016] INFO perfrun.launcher <> - create file finder object
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CATAvailable; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = L3CATDetails; value = COS=16;ways=16
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL2CATAvailable; value = false
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LLCSize; value = 0
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = cacheMonitoringUpscalingFactor; value = 64
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3CacheOccupancyAvailable; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3TotalBWAvailable; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3LocalBWAvailable; value = true
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
113 [133704139902016] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = false
